物件名,住所,築年数,築年数2,築年数_値,家賃,間取り,面積,家賃/平米,アクセス2,minute2,アクセス3,minute3,アクセス4,minute4,アクセス5,minute5,アクセス6,minute6,アクセス7,minute7,アクセス8,minute8,アクセス9,minute9,min_minute,築年数フラグ,家賃フラグ,アクセスフラグ,ターゲットフラグ,駅名,サブターゲットフラグ,詳細リンク,仲介業者
IVY HOUSE HORIKIRI N棟,東京都葛飾区堀切４,"築8年
2階建","築8年
2階建",8,5.2,ワンルーム,14.47,0.359364201796821,京成本線/堀切菖蒲園駅 歩4分,4.0,東武伊勢崎線/堀切駅 歩12分,12.0,,0.0,,0,,0,,0,,0,,0,4.0,0,0,0,0,堀切菖蒲園,0,,
ＪＲ山手線 西日暮里駅 6階建 築36年,東京都荒川区西日暮里２,"築36年
6階建","築36年
6階建",36,6.0,ワンルーム,18.22,0.3293084522502744,ＪＲ山手線/西日暮里駅 歩6分,6.0,ＪＲ山手線/日暮里駅 歩8分,8.0,ＪＲ常磐線/三河島駅 歩12分,12.0,,0,,0,,0,,0,,0,6.0,1,0,0,0,西日暮里,0,,
ハイム岡野I,東京都江戸川区春江町３,"築33年
3階建","築33年
3階建",33,6.4,2K,30.0,0.2133333333333333,都営新宿線/瑞江駅 歩10分,10.0,都営新宿線/一之江駅 歩18分,18.0,,0.0,,0,,0,,0,,0,,0,10.0,1,1,1,1,瑞江,0,,
ＪＲ総武線 浅草橋駅 13階建 築16年,東京都台東区浅草橋５,"築16年
13階建","築16年
13階建",16,15.3,1LDK,39.27,0.3896103896103896,ＪＲ総武線/浅草橋駅 歩8分,8.0,都営大江戸線/新御徒町駅 歩8分,8.0,ＪＲ山手線/秋葉原駅 歩16分,16.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,浅草橋,0,,
東京メトロ半蔵門線 押上駅 10階建 築3年,東京都墨田区押上３,"築3年
10階建","築3年
10階建",3,13.0,1LDK,34.08,0.3814553990610329,東京メトロ半蔵門線/押上駅 歩4分,4.0,東武伊勢崎線/曳舟駅 歩10分,10.0,京成押上線/京成曳舟駅 歩13分,13.0,,0,,0,,0,,0,,0,4.0,0,0,0,0,押上,0,,
カノン押上,東京都墨田区押上３,"築3年
10階建","築3年
10階建",3,13.0,1LDK,34.08,0.3814553990610329,東京メトロ半蔵門線/押上駅 歩4分,4.0,東武伊勢崎線/曳舟駅 歩10分,10.0,京成押上線/京成曳舟駅 歩13分,13.0,,0,,0,,0,,0,,0,4.0,0,0,0,0,押上,0,,
ＪＲ総武線 亀戸駅 11階建 築3年,東京都江東区亀戸７,"築3年
11階建","築3年
11階建",3,9.5,1LDK,25.7,0.3696498054474708,ＪＲ総武線/亀戸駅 歩10分,10.0,東武亀戸線/亀戸水神駅 歩9分,9.0,都営新宿線/大島駅 歩13分,13.0,,0,,0,,0,,0,,0,9.0,0,0,1,0,亀戸,0,,
コスモグラシア浅草,東京都台東区西浅草２,"築3年
15階建","築3年
15階建",3,14.7,1LDK,35.09,0.4189227700199486,つくばエクスプレス/浅草駅 歩4分,4.0,東京メトロ銀座線/田原町駅 歩7分,7.0,都営浅草線/浅草駅 歩12分,12.0,,0,,0,,0,,0,,0,4.0,0,0,0,0,浅草,0,,
つくばエクスプレス 六町駅 3階建 築12年,東京都足立区南花畑１,"築12年
3階建","築12年
3階建",12,11.5,1LDK,47.87,0.2402339669939419,つくばエクスプレス/六町駅 歩3分,3.0,つくばエクスプレス/青井駅 歩21分,21.0,東京メトロ千代田線/北綾瀬駅 歩25分,25.0,,0,,0,,0,,0,,0,3.0,0,1,0,0,六町,0,,
ＪＲ総武線 小岩駅 2階建 築2年,東京都江戸川区東小岩６,"築2年
2階建","築2年
2階建",2,7.0,ワンルーム,24.1,0.2904564315352697,ＪＲ総武線/小岩駅 歩7分,7.0,京成本線/京成小岩駅 歩13分,13.0,京成本線/江戸川駅 歩16分,16.0,,0,,0,,0,,0,,0,7.0,0,1,0,0,小岩,0,,
アーバンパーク綾瀬Ｄｕｏ,東京都足立区東綾瀬２,"新築
7階建",築１年,1,10.3,1LDK,33.94,0.3034767236299352,東京メトロ千代田線/綾瀬駅 歩12分,12.0,東京メトロ千代田線/北綾瀬駅 歩17分,17.0,ＪＲ常磐線/亀有駅 歩19分,19.0,,0,,0,,0,,0,,0,12.0,0,0,1,0,綾瀬,0,,
ライオンズマンション田端第2,東京都荒川区西尾久４,"築33年
7階建","築33年
7階建",33,6.0,ワンルーム,24.36,0.2463054187192118,ＪＲ山手線/田端駅 歩11分,11.0,日暮里・舎人ライナー/赤土小学校前駅 歩10分,10.0,ＪＲ高崎線/尾久駅 歩11分,11.0,,0,,0,,0,,0,,0,10.0,1,1,1,1,田端,0,,
HF上野レジデンスイースト,東京都台東区東上野５,"築7年
15階建","築7年
15階建",7,15.5,ワンルーム,35.69,0.4342953208181563,ＪＲ山手線/上野駅 歩7分,7.0,東京メトロ銀座線/稲荷町駅 歩2分,2.0,都営大江戸線/新御徒町駅 歩10分,10.0,,0,,0,,0,,0,,0,2.0,0,0,0,0,上野,0,,
ラントヴィル船堀,東京都江戸川区宇喜田町,"築4年
2階建","築4年
2階建",4,7.2,ワンルーム,23.8,0.3025210084033613,都営新宿線/船堀駅 歩7分,7.0,東京メトロ東西線/西葛西駅 バス10分 (バス停)七軒町 歩4分,10.0,東京メトロ東西線/葛西駅 バス18分 (バス停)葛西第二中学校前 歩2分,18.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,船堀,0,,
ＪＲ総武線 亀戸駅 3階建 新築,東京都江東区亀戸５,"新築
3階建",築１年,1,7.9,1K,24.67,0.3202269963518443,ＪＲ総武線/亀戸駅 歩6分,6.0,東武亀戸線/亀戸水神駅 歩5分,5.0,都営新宿線/西大島駅 歩18分,18.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,亀戸,0,,
ＪＲ総武線 両国駅 10階建 築8年,東京都墨田区両国４,"築8年
10階建","築8年
10階建",8,14.7,1LDK,43.18,0.3404353867531264,ＪＲ総武線/両国駅 歩7分,7.0,都営大江戸線/森下駅 歩8分,8.0,都営新宿線/浜町駅 歩20分,20.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,両国,0,,
東京メトロ東西線 西葛西駅 8階建 築31年,東京都江戸川区西葛西６,"築31年
8階建","築31年
8階建",31,5.3,ワンルーム,18.0,0.2944444444444444,東京メトロ東西線/西葛西駅 歩3分,3.0,東京メトロ東西線/葛西駅 歩15分,15.0,ＪＲ京葉線/葛西臨海公園駅 バス13分 (バス停)西葛西駅前 歩3分,13.0,,0,,0,,0,,0,,0,3.0,1,0,0,0,西葛西,0,,
クレアホームズフラン東京三ノ輪II,東京都台東区三ノ輪１,"新築
12階建",築１年,1,13.9,1LDK,32.78,0.424039048200122,東京メトロ日比谷線/三ノ輪駅 歩4分,4.0,都電荒川線/三ノ輪橋駅 歩7分,7.0,つくばエクスプレス/南千住駅 歩8分,8.0,,0,,0,,0,,0,,0,4.0,0,0,0,0,三ノ輪,0,,
プライマル錦糸町,東京都墨田区太平４,"築8年
7階建","築8年
7階建",8,15.6,1LDK,40.25,0.3875776397515528,東京メトロ半蔵門線/錦糸町駅 歩9分,9.0,都営浅草線/押上駅 歩10分,10.0,ＪＲ総武線/亀戸駅 歩17分,17.0,,0,,0,,0,,0,,0,9.0,0,0,1,0,錦糸町,0,,
日神デュオステージ押上,東京都墨田区京島２,"築15年
6階建","築15年
6階建",15,13.0,1LDK,40.02,0.3248375812093952,東京メトロ半蔵門線/押上駅 歩10分,10.0,東武伊勢崎線/曳舟駅 歩8分,8.0,東武亀戸線/小村井駅 歩14分,14.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,押上,0,,
