物件名,住所,築年数,築年数2,築年数_値,家賃,間取り,面積,家賃/平米,アクセス2,minute2,アクセス3,minute3,アクセス4,minute4,アクセス5,minute5,アクセス6,minute6,アクセス7,minute7,アクセス8,minute8,アクセス9,minute9,min_minute,築年数フラグ,家賃フラグ,アクセスフラグ,ターゲットフラグ,駅名,サブターゲットフラグ,詳細リンク,仲介業者
コンフォリア門前仲町,東京都江東区冬木,"築16年
地下1地上13階建","築16年
地下1地上13階建",16,9.7,1K,26.81,0.361805296531145,東京メトロ東西線/門前仲町駅 歩8分,8.0,都営大江戸線/清澄白河駅 歩10分,10.0,都営新宿線/菊川駅 歩25分,25.0,,0,,0,,0,,0,,0,8.0,0,0,1,0,門前仲町,0,,
Ｖｉｎｅｙａｒｄ,東京都荒川区荒川５,"築9年
10階建","築9年
10階建",9,10.2,2K,32.76,0.3113553113553113,東京メトロ千代田線/町屋駅 歩4分,4.0,京成本線/新三河島駅 歩5分,5.0,ＪＲ常磐線/三河島駅 歩9分,9.0,,0,,0,,0,,0,,0,4.0,0,0,0,0,町屋,0,,
ＪＰｎｏｉｅ門前仲町,東京都江東区古石場１,"築3年
12階建","築3年
12階建",3,10.7,1DK,25.15,0.4254473161033797,東京メトロ東西線/門前仲町駅 歩5分,5.0,ＪＲ京葉線/越中島駅 歩3分,3.0,東京メトロ有楽町線/月島駅 歩12分,12.0,,0,,0,,0,,0,,0,3.0,0,0,0,0,門前仲町,0,,
ＪＲ京葉線 越中島駅 12階建 築3年,東京都江東区古石場１,"築3年
12階建","築3年
12階建",3,10.7,1DK,25.15,0.4254473161033797,ＪＲ京葉線/越中島駅 歩3分,3.0,東京メトロ東西線/門前仲町駅 歩5分,5.0,東京メトロ有楽町線/月島駅 歩13分,13.0,,0,,0,,0,,0,,0,3.0,0,0,0,0,越中島,0,,
フローレス塚原,東京都江東区常盤２,"築31年
8階建","築31年
8階建",31,10.0,2K,37.0,0.2702702702702703,東京メトロ半蔵門線/清澄白河駅 歩2分,2.0,都営新宿線/森下駅 歩3分,3.0,東京メトロ東西線/門前仲町駅 歩20分,20.0,,0,,0,,0,,0,,0,2.0,1,1,0,0,清澄白河,1,,
ＪＲ総武線 新小岩駅 2階建 築35年,東京都江戸川区中央４,"築35年
2階建","築35年
2階建",35,9.5,2DK,38.5,0.2467532467532467,ＪＲ総武線/新小岩駅 歩14分,14.0,ＪＲ総武線/小岩駅 バス12分 (バス停)江戸川文化センター 歩5分,12.0,都営新宿線/船堀駅 バス15分 (バス停)江戸川高校前 歩2分,15.0,,0,,0,,0,,0,,0,12.0,1,1,1,1,新小岩,0,,
東京メトロ東西線 東陽町駅 14階建 築2年,東京都江東区東陽３,"築2年
14階建","築2年
14階建",2,10.7,1DK,25.33,0.4224240031583103,東京メトロ東西線/東陽町駅 歩7分,7.0,東京メトロ東西線/木場駅 歩5分,5.0,東京メトロ東西線/門前仲町駅 歩20分,20.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,東陽町,0,,
パークアクシス亀戸中央公園,東京都江東区亀戸７,"築16年
14階建","築16年
14階建",16,8.9,ワンルーム,24.97,0.3564277132559071,ＪＲ総武線/亀戸駅 歩10分,10.0,都営新宿線/大島駅 歩14分,14.0,都営新宿線/東大島駅 歩17分,17.0,,0,,0,,0,,0,,0,10.0,0,0,1,0,亀戸,0,,
東京メトロ半蔵門線 住吉駅 13階建 築5年,東京都江東区千石２,"築5年
13階建","築5年
13階建",5,10.6,1DK,26.5,0.3999999999999999,東京メトロ半蔵門線/住吉駅 歩10分,10.0,東京メトロ東西線/東陽町駅 歩13分,13.0,都営新宿線/菊川駅 歩24分,24.0,,0,,0,,0,,0,,0,10.0,0,0,1,0,住吉,0,,
北村コーポ301号,東京都江戸川区南小岩４,"築29年
3階建","築29年
3階建",29,8.0,2DK,41.32,0.1936108422071636,ＪＲ総武線/小岩駅 歩17分,17.0,京成本線/江戸川駅 歩28分,28.0,都営新宿線/篠崎駅 歩30分,30.0,,0,,0,,0,,0,,0,17.0,1,1,1,1,小岩,0,,
浅草橋グランドハイツ,東京都台東区浅草橋３,"築33年
13階建","築33年
13階建",33,9.6,1DK,35.12,0.2733485193621868,都営浅草線/蔵前駅 歩5分,5.0,ＪＲ総武線/浅草橋駅 歩6分,6.0,ＪＲ山手線/秋葉原駅 歩17分,17.0,,0,,0,,0,,0,,0,5.0,1,1,0,0,蔵前,1,,
向島MTビル,東京都墨田区向島２,"築33年
6階建","築33年
6階建",33,8.4,1DK,32.18,0.2610316967060286,都営浅草線/押上駅 歩11分,11.0,東武伊勢崎線/曳舟駅 歩13分,13.0,東京メトロ銀座線/浅草駅 歩16分,16.0,,0,,0,,0,,0,,0,11.0,1,1,1,1,押上,0,,
日神パレステージ亀有,東京都葛飾区亀有４,"築30年
6階建","築30年
6階建",30,4.6,1K,20.52,0.2241715399610136,ＪＲ常磐線/亀有駅 歩10分,10.0,京成本線/お花茶屋駅 歩18分,18.0,東京メトロ千代田線/綾瀬駅 歩27分,27.0,,0,,0,,0,,0,,0,10.0,1,1,1,1,亀有,0,,
マミーコーポ,東京都葛飾区西新小岩５,"築36年
3階建","築36年
3階建",36,7.9,2DK,38.88,0.2031893004115226,ＪＲ総武線/新小岩駅 歩19分,19.0,京成押上線/四ツ木駅 バス8分 (バス停)西新小岩 歩3分,8.0,京成押上線/京成立石駅 バス11分 (バス停)東新小岩七丁目 歩4分,11.0,,0,,0,,0,,0,,0,8.0,1,1,1,1,新小岩,0,,
都営大江戸線 門前仲町駅 6階建 築11年,東京都江東区冬木,"築11年
6階建","築11年
6階建",11,11.7,1LDK,31.93,0.3664265580958346,都営大江戸線/門前仲町駅 歩9分,9.0,東京メトロ東西線/木場駅 歩9分,9.0,東京メトロ半蔵門線/清澄白河駅 歩15分,15.0,,0,,0,,0,,0,,0,9.0,0,0,1,0,門前仲町,0,,
シーフォルム木場2,東京都江東区東陽１,"築2年
9階建","築2年
9階建",2,11.5,1DK,25.4,0.452755905511811,東京メトロ東西線/木場駅 歩6分,6.0,東京メトロ東西線/東陽町駅 歩8分,8.0,,0.0,,0,,0,,0,,0,,0,6.0,0,0,0,0,木場,0,,
ベルコリーヌ,東京都葛飾区奥戸９,"築29年
3階建","築29年
3階建",29,7.5,2DK,46.41,0.1616031027795733,ＪＲ総武線/小岩駅 歩21分,21.0,京成本線/京成高砂駅 歩19分,19.0,京成本線/京成小岩駅 歩22分,22.0,,0,,0,,0,,0,,0,19.0,1,1,1,1,小岩,0,,
ディームス東陽町,東京都江東区東陽５,"築5年
10階建","築5年
10階建",5,12.5,1DK,29.13,0.4291108822519739,東京メトロ東西線/東陽町駅 歩7分,7.0,東京メトロ東西線/木場駅 歩10分,10.0,,0.0,,0,,0,,0,,0,,0,7.0,0,0,0,0,東陽町,0,,
アーバネックス森下ＷＥＳＴ,東京都江東区新大橋２,"新築
12階建",築１年,1,11.1,1DK,25.77,0.4307334109429569,都営新宿線/森下駅 歩6分,6.0,ＪＲ総武線/両国駅 歩11分,11.0,都営大江戸線/両国駅 歩13分,13.0,,0,,0,,0,,0,,0,6.0,0,0,0,0,森下,0,,
都営大江戸線 森下駅 12階建 新築,東京都江東区新大橋２,"新築
12階建",築１年,1,11.1,1DK,25.77,0.4307334109429569,都営大江戸線/森下駅 歩6分,6.0,ＪＲ総武線/両国駅 歩11分,11.0,都営新宿線/浜町駅 歩13分,13.0,,0,,0,,0,,0,,0,6.0,0,0,0,0,森下,0,,
メインステージ森下駅前,東京都江東区新大橋３,"築9年
8階建","築9年
8階建",9,8.5,1K,25.8,0.3294573643410852,都営大江戸線/森下駅 歩3分,3.0,東京メトロ半蔵門線/清澄白河駅 歩11分,11.0,ＪＲ総武線/両国駅 歩12分,12.0,,0,,0,,0,,0,,0,3.0,0,0,0,0,森下,0,,
東京メトロ半蔵門線 錦糸町駅 13階建 築2年,東京都江東区亀戸２,"築2年
13階建","築2年
13階建",2,10.8,1DK,25.57,0.4223699648025029,東京メトロ半蔵門線/錦糸町駅 歩10分,10.0,ＪＲ総武線/錦糸町駅 歩12分,12.0,ＪＲ総武線/亀戸駅 歩12分,12.0,,0,,0,,0,,0,,0,10.0,0,0,1,0,錦糸町,0,,
第二コーポナカムラ_302号室,東京都江戸川区西小岩１,"築36年
3階建","築36年
3階建",36,6.0,1DK,25.55,0.2348336594911937,ＪＲ総武線/小岩駅 歩10分,10.0,京成本線/京成小岩駅 歩25分,25.0,京成本線/江戸川駅 歩29分,29.0,,0,,0,,0,,0,,0,10.0,1,1,1,1,小岩,0,,
都営新宿線 大島駅 14階建 新築,東京都江東区大島７,"新築
14階建",築１年,1,9.5,1K,26.05,0.36468330134357,都営新宿線/大島駅 歩4分,4.0,都営新宿線/東大島駅 歩9分,9.0,都営新宿線/西大島駅 歩15分,15.0,,0,,0,,0,,0,,0,4.0,0,0,0,0,大島,0,,
ＪＲ総武線 小岩駅 3階建 築40年,東京都江戸川区南小岩７,"築40年
3階建","築40年
3階建",40,7.5,ワンルーム,36.0,0.2083333333333333,ＪＲ総武線/小岩駅 歩7分,7.0,京成本線/京成小岩駅 歩26分,26.0,京成本線/江戸川駅 歩23分,23.0,,0,,0,,0,,0,,0,7.0,1,1,0,0,小岩,1,,
メゾンスドー,東京都足立区綾瀬６,"築39年
2階建","築39年
2階建",39,6.2,1DK,30.0,0.2066666666666666,ＪＲ常磐線/綾瀬駅 歩12分,12.0,つくばエクスプレス/青井駅 歩9分,9.0,東京メトロ千代田線/北綾瀬駅 歩16分,16.0,,0,,0,,0,,0,,0,9.0,1,1,1,1,綾瀬,0,,
プリンセスライン住吉,東京都江東区住吉１,"築10年
12階建","築10年
12階建",10,8.15,1K,26.1,0.3122605363984674,都営新宿線/住吉駅 歩3分,3.0,ＪＲ総武線快速/錦糸町駅 歩15分,15.0,都営新宿線/西大島駅 歩17分,17.0,,0,,0,,0,,0,,0,3.0,0,0,0,0,住吉,0,,
グランカーサ大島,東京都江東区大島４,"新築
12階建",築１年,1,9.9,1DK,25.98,0.3810623556581986,都営新宿線/大島駅 歩3分,3.0,都営新宿線/西大島駅 歩7分,7.0,東武亀戸線/亀戸駅 歩15分,15.0,,0,,0,,0,,0,,0,3.0,0,0,0,0,大島,0,,
コンシェリア門前仲町 ＜ＳＡＫＵＲＡ ＰＲＯＭＥＮＡＤＥ＞,東京都江東区永代２,"築2年
10階建","築2年
10階建",2,10.9,1K,25.74,0.4234654234654235,東京メトロ東西線/門前仲町駅 歩6分,6.0,ＪＲ京葉線/越中島駅 歩9分,9.0,東京メトロ有楽町線/月島駅 歩17分,17.0,,0,,0,,0,,0,,0,6.0,0,0,0,0,門前仲町,0,,
クレアールフレスカ,東京都江東区亀戸１,"築12年
14階建","築12年
14階建",12,11.7,1DK,31.44,0.3721374045801526,東京メトロ半蔵門線/錦糸町駅 歩9分,9.0,ＪＲ総武線快速/錦糸町駅 歩9分,9.0,東武亀戸線/亀戸駅 歩10分,10.0,,0,,0,,0,,0,,0,9.0,0,0,1,0,錦糸町,0,,
都営新宿線 菊川駅 8階建 築20年,東京都墨田区菊川２,"築20年
8階建","築20年
8階建",20,11.4,1DK,30.51,0.3736479842674532,都営新宿線/菊川駅 歩3分,3.0,都営大江戸線/森下駅 歩7分,7.0,東京メトロ半蔵門線/清澄白河駅 歩11分,11.0,,0,,0,,0,,0,,0,3.0,0,0,0,0,菊川,0,,
都営新宿線 大島駅 12階建 新築,東京都江東区大島４,"新築
12階建",築１年,1,9.4,1DK,25.41,0.3699330972058245,都営新宿線/大島駅 歩3分,3.0,都営新宿線/西大島駅 歩7分,7.0,ＪＲ総武線/亀戸駅 歩15分,15.0,,0,,0,,0,,0,,0,3.0,0,0,0,0,大島,0,,
サニーイコー,東京都足立区伊興５,"築38年
2階建","築38年
2階建",38,6.5,2DK,40.0,0.1625,東武伊勢崎線/竹ノ塚駅 歩12分,12.0,日暮里・舎人ライナー/舎人公園駅 歩19分,19.0,日暮里・舎人ライナー/舎人駅 歩25分,25.0,,0,,0,,0,,0,,0,12.0,1,1,1,1,竹ノ塚,0,,
東京メトロ半蔵門線 住吉駅 10階建 築3年,東京都江東区扇橋３,"築3年
10階建","築3年
10階建",3,9.2,1DK,25.16,0.3656597774244833,東京メトロ半蔵門線/住吉駅 歩12分,12.0,都営新宿線/西大島駅 歩18分,18.0,東京メトロ東西線/東陽町駅 歩23分,23.0,,0,,0,,0,,0,,0,12.0,0,0,1,0,住吉,0,,
メゾン・シャルマン,東京都足立区島根２,"築3年
3階建","築3年
3階建",3,8.4,1DK,30.51,0.2753195673549656,東武伊勢崎線/西新井駅 歩16分,16.0,東武伊勢崎線/梅島駅 歩16分,16.0,東武大師線/大師前駅 歩25分,25.0,,0,,0,,0,,0,,0,16.0,0,1,1,0,西新井,1,,
東京メトロ東西線 葛西駅 7階建 築22年,東京都江戸川区東葛西９,"築22年
7階建","築22年
7階建",22,10.4,2DK,50.22,0.2070888092393469,東京メトロ東西線/葛西駅 歩18分,18.0,東京メトロ東西線/浦安駅 歩26分,26.0,ＪＲ京葉線/舞浜駅 歩53分,53.0,,0,,0,,0,,0,,0,18.0,0,1,1,0,葛西,1,,
プテリス小岩403号,東京都江戸川区東小岩２,"築34年
4階建","築34年
4階建",34,8.5,2DK,42.64,0.199343339587242,ＪＲ総武線/小岩駅 歩16分,16.0,京成本線/江戸川駅 歩17分,17.0,都営新宿線/篠崎駅 バス10分 (バス停)江戸川病院 歩2分,10.0,,0,,0,,0,,0,,0,10.0,1,1,1,1,小岩,0,,
パークアクシス東陽町レジデンス,東京都江東区東陽５,"築2年
12階建","築2年
12階建",2,10.2,ワンルーム,25.19,0.4049225883287018,東京メトロ東西線/東陽町駅 歩6分,6.0,東京メトロ東西線/木場駅 歩13分,13.0,,0.0,,0,,0,,0,,0,,0,6.0,0,0,0,0,東陽町,0,,
ＪＲ総武線 小岩駅 4階建 築34年,東京都葛飾区細田１,"築34年
4階建","築34年
4階建",34,6.8,2DK,37.1,0.183288409703504,ＪＲ総武線/小岩駅 歩19分,19.0,京成本線/京成小岩駅 歩18分,18.0,京成本線/京成高砂駅 歩20分,20.0,,0,,0,,0,,0,,0,18.0,1,1,1,1,小岩,0,,
ＪＲ総武線 小岩駅 3階建 築36年,東京都葛飾区奥戸８,"築36年
3階建","築36年
3階建",36,6.5,2DK,36.18,0.179657269209508,ＪＲ総武線/小岩駅 歩18分,18.0,,0.0,,0.0,,0,,0,,0,,0,,0,18.0,1,1,1,1,小岩,0,,
ＪＲ総武線 新小岩駅 2階建 築33年,東京都葛飾区奥戸４,"築33年
2階建","築33年
2階建",33,6.9,2DK,44.62,0.1546391752577319,ＪＲ総武線/新小岩駅 歩20分,20.0,ＪＲ総武線/小岩駅 歩24分,24.0,京成押上線/京成立石駅 歩29分,29.0,,0,,0,,0,,0,,0,20.0,1,1,1,1,新小岩,0,,
都営新宿線 菊川駅 5階建 築33年,東京都墨田区菊川３,"築33年
5階建","築33年
5階建",33,14.2,2DK,49.25,0.2883248730964466,都営新宿線/菊川駅 歩5分,5.0,東京メトロ半蔵門線/住吉駅 歩12分,12.0,都営大江戸線/森下駅 歩14分,14.0,,0,,0,,0,,0,,0,5.0,1,1,0,0,菊川,1,,
コンフォリア押上,東京都墨田区業平４,"築17年
11階建","築17年
11階建",17,8.3,1K,21.12,0.3929924242424242,東京メトロ半蔵門線/押上駅 歩2分,2.0,東武伊勢崎線/とうきょうスカイツリー駅 歩13分,13.0,都営浅草線/本所吾妻橋駅 歩15分,15.0,,0,,0,,0,,0,,0,2.0,0,0,0,0,押上,0,,
足立１丁目一戸建て住宅,東京都足立区足立１,"築63年
2階建","築63年
2階建",63,6.4,2DK,29.25,0.2188034188034188,東武伊勢崎線/小菅駅 歩8分,8.0,東武伊勢崎線/五反野駅 歩9分,9.0,ＪＲ常磐線/綾瀬駅 歩20分,20.0,,0,,0,,0,,0,,0,8.0,1,1,1,1,小菅,0,,
東武伊勢崎線 西新井駅 5階建 築19年,東京都足立区関原２,"築19年
5階建","築19年
5階建",19,8.7,1DK,38.79,0.2242846094354215,東武伊勢崎線/西新井駅 歩15分,15.0,東武伊勢崎線/梅島駅 歩19分,19.0,東武大師線/大師前駅 歩18分,18.0,,0,,0,,0,,0,,0,15.0,0,1,1,0,西新井,1,,
ＪＲ総武線 小岩駅 3階建 築25年,東京都江戸川区南小岩２,"築25年
3階建","築25年
3階建",25,8.0,2DK,45.13,0.1772656769333037,ＪＲ総武線/小岩駅 歩19分,19.0,都営新宿線/篠崎駅 バス9分 (バス停)南小岩二丁目 歩3分,9.0,京成本線/江戸川駅 歩27分,27.0,,0,,0,,0,,0,,0,9.0,1,1,1,1,小岩,0,,
プレミール,東京都足立区加平２,"築24年
2階建","築24年
2階建",24,6.8,1K,26.71,0.2545862972669412,東京メトロ千代田線/北綾瀬駅 歩10分,10.0,つくばエクスプレス/六町駅 歩17分,17.0,ＪＲ常磐線/綾瀬駅 歩26分,26.0,,0,,0,,0,,0,,0,10.0,1,1,1,1,北綾瀬,0,,
ハイツローザリィ,東京都江戸川区上一色３,"築30年
3階建","築30年
3階建",30,7.4,2DK,38.0,0.1947368421052631,ＪＲ総武線/小岩駅 歩17分,17.0,ＪＲ総武線/新小岩駅 歩27分,27.0,,0.0,,0,,0,,0,,0,,0,17.0,1,1,1,1,小岩,0,,
ネモコーポ,東京都江東区新大橋３,"築10年
3階建","築10年
3階建",10,10.5,1DK,36.72,0.2859477124183006,都営新宿線/森下駅 歩3分,3.0,,0.0,,0.0,,0,,0,,0,,0,,0,3.0,0,1,0,0,森下,0,,
京成本線 京成小岩駅 2階建 築37年,東京都葛飾区細田４,"築37年
2階建","築37年
2階建",37,6.7,2DK,39.66,0.1689359556227937,京成本線/京成小岩駅 歩18分,18.0,ＪＲ総武線/小岩駅 歩22分,22.0,北総線/新柴又駅 歩16分,16.0,,0,,0,,0,,0,,0,16.0,1,1,1,1,京成小岩,0,,
江戸川ＢＡＳＥ,東京都江戸川区上一色２,"築5年
3階建","築5年
3階建",5,6.9,1K,23.14,0.2981849611063094,ＪＲ総武線/小岩駅 歩14分,14.0,,0.0,,0.0,,0,,0,,0,,0,,0,14.0,0,0,1,0,小岩,0,,
メイクスデザイン門前仲町ガーデン,東京都江東区福住１,"築4年
13階建","築4年
13階建",4,9.85,1K,25.83,0.3813395276809911,東京メトロ東西線/門前仲町駅 歩5分,5.0,東京メトロ半蔵門線/清澄白河駅 歩13分,13.0,ＪＲ京葉線/越中島駅 歩14分,14.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,門前仲町,0,,
レジデンス深川富岡町,東京都江東区古石場３,"築36年
6階建","築36年
6階建",36,12.0,2DK,37.12,0.3232758620689655,東京メトロ東西線/木場駅 歩7分,7.0,東京メトロ東西線/門前仲町駅 歩9分,9.0,ＪＲ京葉線/越中島駅 歩12分,12.0,,0,,0,,0,,0,,0,7.0,1,0,0,0,木場,0,,
菊地マンション,東京都台東区浅草４,"築45年
5階建","築45年
5階建",45,7.5,1DK,30.15,0.2487562189054726,東京メトロ銀座線/浅草駅 歩10分,10.0,東京メトロ銀座線/田原町駅 歩15分,15.0,東京メトロ日比谷線/入谷駅 歩19分,19.0,,0,,0,,0,,0,,0,10.0,1,1,1,1,浅草,0,,
ボヌール・ゾー,東京都江東区木場３,"築11年
7階建","築11年
7階建",11,11.4,1DK,33.5,0.3402985074626866,東京メトロ東西線/門前仲町駅 歩14分,14.0,東京メトロ東西線/木場駅 歩10分,10.0,都営大江戸線/清澄白河駅 歩17分,17.0,,0,,0,,0,,0,,0,10.0,0,0,1,0,門前仲町,0,,
京成本線 江戸川駅 5階建 築36年,東京都江戸川区北小岩３,"築36年
5階建","築36年
5階建",36,6.5,1DK,24.36,0.2668308702791461,京成本線/江戸川駅 歩3分,3.0,ＪＲ総武線/小岩駅 歩19分,19.0,京成本線/京成小岩駅 歩20分,20.0,,0,,0,,0,,0,,0,3.0,1,1,0,0,江戸川,1,,
ＪＲ総武線 亀戸駅 14階建 築3年,東京都江東区亀戸４,"築3年
14階建","築3年
14階建",3,11.5,1DK,26.55,0.4331450094161958,ＪＲ総武線/亀戸駅 歩5分,5.0,東武亀戸線/亀戸水神駅 歩5分,5.0,ＪＲ総武線/錦糸町駅 歩17分,17.0,,0,,0,,0,,0,,0,5.0,0,0,0,0,亀戸,0,,
ステラ,東京都足立区関原３,"築19年
2階建","築19年
2階建",19,7.0,1K,26.71,0.2620741295394983,東武伊勢崎線/西新井駅 歩12分,12.0,東武伊勢崎線/梅島駅 歩14分,14.0,日暮里・舎人ライナー/高野駅 歩28分,28.0,,0,,0,,0,,0,,0,12.0,0,1,1,0,西新井,1,,
ブリーズ菊川マンション,東京都墨田区菊川３,"築33年
5階建","築33年
5階建",33,14.2,2DK,49.25,0.2883248730964466,都営新宿線/菊川駅 歩5分,5.0,東京メトロ半蔵門線/住吉駅 歩12分,12.0,都営大江戸線/森下駅 歩14分,14.0,,0,,0,,0,,0,,0,5.0,1,1,0,0,菊川,1,,
フォレシティ豊洲,東京都江東区東雲１,"築18年
11階建","築18年
11階建",18,9.7,1K,20.47,0.4738641914997557,新交通ゆりかもめ/豊洲駅 歩9分,9.0,りんかい線/東雲駅 歩14分,14.0,東京メトロ有楽町線/辰巳駅 歩18分,18.0,,0,,0,,0,,0,,0,9.0,0,0,1,0,豊洲,0,,
パークアクシス元浅草ステージ,東京都台東区元浅草１,"築16年
地下1地上16階建","築16年
地下1地上16階建",16,12.7,1DK,32.22,0.3941651148355058,都営大江戸線/新御徒町駅 歩2分,2.0,東京メトロ日比谷線/仲御徒町駅 歩9分,9.0,ＪＲ山手線/御徒町駅 歩10分,10.0,,0,,0,,0,,0,,0,2.0,0,0,0,0,新御徒町,0,,
ル・コンホル,東京都葛飾区西亀有２,"築29年
5階建","築29年
5階建",29,9.4,2SK,50.39,0.1865449493947212,東京メトロ千代田線/綾瀬駅 歩8分,8.0,ＪＲ常磐線/亀有駅 歩19分,19.0,京成本線/堀切菖蒲園駅 歩23分,23.0,,0,,0,,0,,0,,0,8.0,1,1,1,1,綾瀬,0,,
ラクラス田原町,東京都台東区寿２,"築21年
12階建","築21年
12階建",21,12.3,1DK,33.82,0.3636901241868717,東京メトロ銀座線/田原町駅 歩2分,2.0,都営大江戸線/蔵前駅 歩5分,5.0,都営浅草線/浅草駅 歩7分,7.0,,0,,0,,0,,0,,0,2.0,0,0,0,0,田原町,0,,
東京メトロ銀座線 田原町駅 12階建 築21年,東京都台東区寿２,"築21年
12階建","築21年
12階建",21,12.3,1DK,33.82,0.3636901241868717,東京メトロ銀座線/田原町駅 歩2分,2.0,都営大江戸線/蔵前駅 歩5分,5.0,都営浅草線/浅草駅 歩7分,7.0,,0,,0,,0,,0,,0,2.0,0,0,0,0,田原町,0,,
ポポラーレイワイ,東京都足立区関原２,"築19年
5階建","築19年
5階建",19,8.7,1DK,38.79,0.2242846094354215,東武伊勢崎線/西新井駅 歩15分,15.0,東武伊勢崎線/梅島駅 歩15分,15.0,日暮里・舎人ライナー/高野駅 歩21分,21.0,,0,,0,,0,,0,,0,15.0,0,1,1,0,西新井,1,,
都営大江戸線 両国駅 10階建 築32年,東京都墨田区石原１,"築32年
10階建","築32年
10階建",32,6.4,1K,18.42,0.3474484256243214,都営大江戸線/両国駅 歩7分,7.0,都営浅草線/本所吾妻橋駅 歩19分,19.0,ＪＲ総武線/両国駅 歩13分,13.0,,0,,0,,0,,0,,0,7.0,1,0,0,0,両国,0,,
SIN-City東陽町,東京都江東区南砂３,"築16年
8階建","築16年
8階建",16,7.0,1K,20.39,0.3433055419323197,東京メトロ東西線/南砂町駅 歩10分,10.0,東京メトロ東西線/東陽町駅 歩13分,13.0,都営新宿線/西大島駅 歩27分,27.0,,0,,0,,0,,0,,0,10.0,0,0,1,0,南砂町,0,,
